Name,Description,Action,Uses,Chief Ingredient,Ingredients,Preparation,Dose
Roghan Badam Sheereen,"Hakim Mir Mohd Momin introduced it. He gave its name on his father’s name
						Hakim Zaman Khan.","Dafe Sauda (Anti Melancholic),Dafe Balghem (Anti Phlegmatic)","It is used in Malekholia Miraqi (Melancholia), Qolanj (Colic Pain), Daimi
						Nazla (Chronic Cold and Cough), Sar Dard (Headache) and Khafqan
						(Palpitation).","Haleelajat [Haleela Zard (Terminelia chebula halfripe fruit), Haleela Kabuli
						(Terminelia chebula ripe fruit), and Haleela Siyah (Terminelia chebula
						unripe fruit)] and Turbud (Ipomea turpenthum root)","Gule Banafshah (Viola odorata flower), 40 gm; Post Haleela Kabuli (Terminelia chebula ripe fruit), 40 gm; Post Haleela Siyah (Terminelia chebula unripe fruit), 40 gm; Post Haleela Zard (Terminelia chebula half-ripe fruit), 40 gm; Saqmoonia (Convolvulus scamony root latex), 40 gm; Kashneez Khushk ((Coriandrum sativum fruit), 80 gm; Turbud Mujaffif (Ipomea turpenthum hollow root), 80 gm; Amla (Emblica officinalis Gaertin fruit), 20 gm; Gule Neelofer (Nymphaea alba flower), 20 gm; Gule Surkh (Rosa damascena flower), 20 gm; Post Balela (Terminelia belerica fruit), 20 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 20 gm; Kateera (Astragallus gummifera gum), 10 gm; Sandal safed (Santalum album wood), 10 gm; Gule Banafshah (Viola odorata flower), 30 gm; Sapistan (Cordia dichotama, C. latifolia fruit), 100 in number; Unnab (Zizyfus sativa fruit), 100 number; Asl (Honey), equal to all drugs weight; Sheera Murabba Haleela (Terminelia chebula preserved fruit ground
								in water), 1 1/2 times of the drugs; Roghan Badam Sheereen (Prunus amygdalus oil), 400 ml","Make powder of all drugs except Unnab (Zizyfus sativa fruit), Sapistan
						(Cordia dichotama, C. latifolia fruit), Gule Banafshah (Viola odorata
						flower). Mix the powder of Haleelajat (Haleela Zard (Terminelia chebula
						half-ripe fruit), Haleela Kabuli (Terminelia chebula ripe fruit), and
						Haleela Siyah (Terminelia chebula unripe fruit) with Roghan Badam (Prunus
						amygdalus oil). Make Joshanda (Decoction) of Unnab (Zizyfus sativa fruit),
						Sapistan (Cordia dichotama, C. latifolia fruit), Gule Banafshah (Viola
						odorata flower) in water. Filter it and obtain watery part Make Qiwam (Basic
						Solution of Particular consistency) of Asl (Honey) in Joshanda (Decoction)
						and mix powdered drugs.","5-10
						gm , for laxative action
						25gm"
Chini,"Its name is due to its chief ingredient Amla (Emblica officinalis Gaertin
						fruit)","Muqavvi Meda (Gastric tonic), Muqavvi Dimagh (Brain tonic), Muqavvi Jiger
						(Liver tonic)","Zofe Meda (Weakness of Stomach), Zofe Dimagh (Weakness of Brain), Safravi
						Is-hal (Biliary Diorrhoea) and Nafakh Shakum (Flatulence)",Amla (Emblica officinalis Gaertin fruit),"Amla (Emblica officinalis Gaertin fruit), 100 gm; Chini (Sugar)), 1 kg; Amla Khushk (Emblica officinalis Gaertin fruit dried), 60 gm; Post Turanj (Citrus medica fruit epicarp), 15 gm; Sandal safed (Santalum album wood), 15 gm; Dana Heel Khurd (Elettaria cardamomum seed), 10 gm; Post Beruun Pista (Pistacia vera fruit shell), 10 gm; Chini (Sugar), 2 k","Soak Amla (Emblica officinalis Gaertin fruit) in milk for 24 hour. Wash with
						water thoroughly. Boil in water and mesh with hands, filter and mix sugar.
						Prepare particular consistency solution.",6
Chini,"It is called due to inclusion of both types of Anar (Punica granatum Linn)
						sweat and sour.","Muqavvi Meda (Gastric tonic), Muqavvi Jiger (Liver tonic), Mushtahi
						(Appetizer) and Qabiz (Astringent)",Is-hal (Diorrhoea),Anar (Punica granatum Linn) Sweat and sour,"Aab Anar Sheereen (Punica granatum Linn sweat fruit juice), 175 ml; Aab Anar Tursh (Punica granatum Linn Sour fruit juice), 175 ml; Aab Leemun (Citrus lemonum fruit juice), 175 ml; Sherbat Habbul Aas (), 150 ml; Aab Podina Sabz (Mentha arvensis herb juice), 75 ml; Sheera Murabba Amla (Emblica officinalis Gaertin conserved fruit),  ; ground with water (), 75 ml; Sherbat Leemun (), 75 ml; Arq Gulab (Rosa damascena flower aqua), 40 ml; Mastagi (Pistacia lantiscus gum (), 5 gm; Dana Heel Khurd (Elettaria cardamomum seed), 5 gm; Zeher mohra (Serpentine), 5 gm; Zare vard (Rosa damascena anther), 2 gm; Vaj (Acorus calamus root)), 2 gm; Jaifal (Myristica fragrance fruit), 2 gm; Ood (Aquilaria agallocha fungus), 2 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 2 gm; Chini (Sugar), 750 gm","Make powder of the drugs. Make Qiwam (Basic Solution of Particular
						consistency) of sugar in above mentioned aqua and syrups. Mix Powder of
						drugs in solution.","5-10
						gm"
Chini,"Its name is due to its chief ingredient Bisbasa (Myristica fragrans fruit
						coat)","Hazim (Digestive), Nafe Buroodat Meda (Beneficent in coldness of gastric)","Buroodat Meda (coldness of gastric), Sue Hazm (Dyspepsia), Riyahi Dard
						(Gaseous Pain)",Bisbasa (Myristica fragrans fruit coat),"Asaroon (Valerina wallichil DC root), 10 gm; Bisbasa (Myristica fragrans fruit coat), 10 gm; Dar Chini (Cinnamomum zeylanicum bark), 10 gm; Filfil Daraz (Piper longum fruit), 10 gm; Heel Khurd (Elettaria cardamomum seed), 10 gm; Taj qalmi (Cinnamomum cassia bark), 10 gm; Zanjabil (Zingiber officinalis rhizome), 10 gm; Qaranfal (Caryophyllus aromatica bud), 20 gm; Filfil Siyah (Piper nigrum fruit), 25 gm; Heel Kalan (Amomum subulatum fruit), 50 gm; Chini (Sugar), 500 gm","Make powder of all drugs. Make Qiwam (Basic Solution of Particular
						consistency) of sugar in water. Mix Powder of drugs in solution.","5-10
						gm"
Asl,"Jalinus introduced it, so it is called by this name","Muqavvi Meda (Gastric tonic), Muqavvi Jiger (Liver tonic) and Muqavvi Bah
						(Aphrodisiac)","Amraz Meda (Gastric diseases), Dard Meda (Gastralgia), Sooe Hazm
						(Dyspepsia), Riyah (Gases), Zofe Bah (Sexual Weakness), Amraz Jiger (Liver
						Disorder), Amraz Balghamia (Phlegmatic diseases)","Zafran (Crocus sativa gynacium), Mastagi (Pistacia lantiscus gum)","Asaroon (Valerina wallichil DC root), 7 gm; Chiraita (Swertia chiratta herb), 7 gm; Dana Heel Khurd (Elettaria cardamomum seed), 7 gm; Dar Chini (Cinnamomum zeylanicum bark), 7 gm; Dar Filfil (Piper longum root), 7 gm; Filfil Siyah (Piper nigrum fruit), 7 gm; Habbul Aas (Myrtus communis fruit), 7 gm; Khoolanjan (Alpinia galanga root), 7 gm; Ood Balsan (Balsamodendron opobalsamum twigs), 7 gm; Qaranfal (Caryophyllus aromatica bud), 7 gm; Qust Sheereen (Sassurea lappa root), 7 gm; Saad (Cyperus scariosus rhizome), 7 gm; Sumbuluttib (Nardostachis jatamansi root), 7 gm; Taj qalmi (Cinnamomum cassia bark), 7 gm; Zafran (Crocus sativa gynacium), 7 gm; Zanjabil (Zingiber officinalis rhizome), 7 gm; Mastagi (Pistacia lantiscus gum), 21 gm; Asl (Honey), Two times of all drugs weight ","Make powder of Mastagi (Pistacia lantiscus gum) and Chiraita (Swertia
						chiratta herb) separately. Then make powder of other drugs. Mix all the
						drugs in Qiwam (Basic Solution of Particular consistency) of Asl (Honey)
						solution","5-10
						gm"
Asl,Its name is due to its chief ingredient Zeera Siyah (Carum carvi seed),"Muqavvi Meda (Gastric tonic), Jazib Ratoobate Meda (Siccative secretion of
						gastric juice)","Nafakh (Flatulence), Riyah (Gases)",Zeera Siyah (Carum carvi seed),"Berg Suddab (Ruta graveolence leaf), 10 gm; Boora armani (Arminium bole), 10 gm; Filfil Siyah (Piper nigrum fruit), 10 gm; Zanjabil (Zingiber officinalis rhizome), 20 gm; Zeera Siyah Mudabbar (Carum carvi seed detoxified), 100 gm; Asl (Honey), three times of all drugs weight ","Make powder of all drugs and mix in Qiwam (Basic Solution of Particular
						consistency) of Asl (Honey)","5-10
						gm"
Arq Gulab,Its name is due to its chief ingredient Mastagi (Pistacia lantiscus gum),"Muqavvi Jiger (Liver tonic), Muqavvi Meda wa Ama (Gastric and intestine
						tonic)","Buroodat Aalate Hazm (Coldness in GIT), Is-hal (Diorrhoea), Ral (Excess
						saliva)",Mastagi (Pistacia lantiscus gum),"Mastagi (Pistacia lantiscus gum), 25 gm; Chini (Sugar), 1 kg; Arq Gulab (Rosa damascena flower aqua), 750 ml","Make powder of Mastagi (Pistacia lantiscus gum) and mix in particular
						consistency solution of Chini (Sugar) in Aqua. Mix the powder of Mastagi
						(Pistacia lantiscus gum) when solution become cold otherwise it will become
						solid.","5-10
						gm"
Chini,"Its name is due to its ingredient Ood (Aquilaria agallocha fungus) and Aab
						Seb Sheereen (Pyrus malus sweet fruit juice)","Muqavvi Meda (Gastric tonic), Hazim (Digestive) and Mushtahi (Appetizer)","Zofe Meda (Weakness of Stomach), Decrease Gastric Secretion",Ood (Aquilaria agallocha fungus),"Dana Heel Kalan (Amomum subulatum seed), 5 gm; Dana Heel Khurd (Elettaria cardamomum seed), 5 gm; Dar Chini (Cinnamomum zeylanicum bark), 5 gm; Dar Filfil (Piper longum root), 5 gm; Zafran (Crocus sativa gynacium), 5 g; Zanjabil (Zingiber officinalis rhizome), 5 gm; Ood (Aquilaria agallocha fungus), 10 gm; Qaranfal (Caryophyllus aromatica bud), 10 gm; Aab Seb Sheereen (Pyrus malus sweet fruit juice), 225 ml; Chini (Sugar), three times of all drugs weight ","Make powder of all drugs and mix in Qiwam (Basic Solution of Particular
						consistency) of Chini (Sugar) and water.","5-7
						gm"
Chini,"Its name is due to its ingredient Ood (Aquilaria agallocha fungus) and Seb
						Tursh (Pyrus malus sour fruit juice)","Reduces secretion of Meda, Reduces excess bile, Mushtahi (Appetizer)",Joo-ulbaqar (Excess hunger) and Sue Hazm (Dyspepsia),Ood (Aquilaria agallocha fungus),"Badranjboya (Melissa parviflora herb), 5 gm; Bisbasa (Myristica fragrans fruit coat), 5 gm; Heel Khurd (Elettaria cardamomum seed), 5 gm; Mastagi (Pistacia lantiscus gum), 5 gm; Post Turanj (Citrus medica fruit epicarp), 5 gm; Qaranfal (Caryophyllus aromatica bud), 5 gm; Sumbuluttib (Nardostachis jatamansi roto), 5 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 5 gm; Zafran (Crocus sativa gynacium), 5 gm; Ood (Aquilaria agallocha fungus), 35 gm; Aab Leemun (Citrus lemonum fruit juice), 400 ml; Aab Seb Tursh (Pyrus malus Sour fruit juice), 225 ml; Arq Gulab (), 275 ml; Asl (Honey), 300 gm; Chini (Sugar), 300 gm","Make powder of all drugs and mix in Qiwam (Basic Solution of Particular
						consistency) of Chini (Sugar), juices and Arq.","5-7
						gm"
Asl,"Its name is due to its chief ingredient Tabasheer (Bambusa arundinasia dried
						exudate on node)","Muqavvi Meda (Gastric tonic), prevents gases to be absorbed","Qai (Vomiting), Safravi Is-hal (Biliary Diorrhoea)",Tabasheer (Bambusa arundinasia dried exudate on node),"Amla Muqashsher (Emblica officinalis Gaertin crushed seed less fruit), 35 gm; Gule Surkh (Rosa damascena flower), 35 gm; Kashneez Khushk (Coriandrum sativum fruit), 35 gm; Sandal safed (Santalum album wood), 35 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 35 gm; Habbul Aas (Myrtus communis fruit), 35 gm; Mastagi (Pistacia lantiscus gum), 35 gm; Post Simaq (Echinochloa crus-qalli), 35 gm; Post Turanj (Citrus medica fruit epicarp), 35 gm; Kafoor (Cinnamomum camphora dried extract), 5 gm; Asl (Honey), three times of all drug weight ","Make powder of all drugs and mix in Qiwam (Basic Solution of Particular
						consistency) of Asl (Honey).","5-10
						gm"
Chini,"Its name is due to its chief ingredient Tamar Hindi (Tamarindus indica fruit
						pulp)","Muqavvi Meda (Gastric tonic), Muqavvi Qalb (Cardiac tonic) and Mushtahi
						(Appetizer)","Safravi Qai (Biliary vomiting), Safravi Is-hal (Biliary Diorrhoea) and Matli
						(Nausea)",Tamar Hindi (Tamarindus indica fruit pulp),"Tamar Hindi (Tamarindus indica fruit pulp), 50 gm; Gule Surkh (Rosa damascena flower), 10 gm; Kashneez (Coriandrum sativum fruit), 10 gm; Berg Podina (Mentha arvensis leaf), 5 gm; Dana Heel Khurd (Elettaria cardamomum seed), 5 gm; Mastagi (Pistacia lantiscus gum), 5 gm; Post Turanj (Citrus medica fruit), 5 gm; Sandal safed (Santalum album wood), 5 gm; Sazij Hindi (Cinnamomum obtusifolium leaf), 5 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 5 gm; Zarishk (Berberis aristata fruit), 5 gm; Anar (Punica granatum Linn fruit), 1 in number ; Murabba Amla (), 1 in number ; Chini (Sugar), three times of total drug ","Get decanted solution of Tamar Hindi (Tamarindus indica fruit pulp). Make
						powder of powder able drugs and mix in decanted solution of Tamar Hindi
						(Tamarindus indica fruit pulp) mix in Qiwam (Basic Solution of Particular
						consistency) of Chini (Sugar).","5-7
						gm"
Qand Safed,"Its name is due to its ingredients, which are mostly seeds. Zara means seed.
						Some experts have written Zarghon instead of Zar-on. Its colour is golden
						like Zarghon. Its name Ambari is due to ingredient Amber (Ambra grasea).","It is unique drug as Muqavvi Gurda (Renal tonic), Muqavvi Jiger (Liver
						tonic), Muqavvi Meda (Gastric tonic), Muqavvi Dimagh (Brain tonic) and
						Muallid Mani (Semen Procreator). It strengthens to spine","Excess urination, Frequency of urination, Renal problems",Amber (Ambra grasea),"Chiraita Sheereen (Swertia chiratta herb), 10 gm; Kharkhasak (Tribulus teristerris fruit), 10 gm; Khurma (Phoenix dactylifera fruit), 10 gm; Maghz Sar kanjishk Ner (Male sparrow brain), 10 gm; Qazeeb Gao (Bos taurus penis), 10 gm; Salab (Orchis latifolia root), 10 gm; Badiyan (Foeniculum vulgare Mill seed), 25 gm; Beikh Karafs (Apium graveolence Root), 25 gm; Habbul qilqil (Cardiospermum halicacabum fruit), 25 gm; Habbul Zalam (Egyptian nut), 25 gm; Maghz Chilghoza (Pinus gerardiana kernel), 25 gm; Nankhuah (Carum capticum seed), 25 gm; Narjeel (Lodoicea maldivica Pers fruit), 25 gm; Tukhme Gazer (Daucus carota seed), 25 gm; Tukhme Karafs (Apium graveolence seed), 25 gm; Tukhme Kharpaza (Cucumis melo seed), 25 gm; Tukhme Khayaren (Cucumis sativa seed), 25 gm; Tukhme Shalgham (Bressica rapa seed), 25 gm; Tukhme Shibbat (Anthium sowa seed), 25 gm; Amber (Ambra grasea), 5 gm; Musk (Moschcus moschiferus secretion), 2 gm; Aqirqarha (Anacylus pyrethrum root), 10 gm; Bisbasa (Myristica fragrans fruit coat), 10 gm; Filfil Daraz (Piper longum fruit), 10 gm; Filfil Siyah (Piper nigrum fruit), 10 gm; Gule Surkh (Rosa damascena flower), 10 gm; Hilyun (Asparagus officinalis seed), 10 gm; Jaifal (Myristica fragrance fruit), 10 gm; Kababkhanda (Zenthoxylum alatum fruit), 10 gm; Qaranfal (Caryophyllus aromatica bud), 10 gm; Taj (Cinnamomum cassia bark), 10 gm; Tukhme Anjara (Astragallus sarcacola seed), 10 gm; Tukhme Gandana (Allium ascalonicum seed), 10 gm; Tukhme Jarjir (Brusa sativa seed), 10 gm; Tukhme Piyaz (Allium cepa seed), 10 gm; Zanjabil (Zingiber officinalis rhizome), 10 gm; Kundur (Boswalia serrata gum), 15 gm; Mastagi (Pistacia lantiscus gum), 15 gm; Ood (Aquilaria agallocha fungus), 15 gm; Zafran (Crocus sativa gynacium), 15 gm; Behman safed (Centaurea behen root), 20 gm; Behman surkh (Salvia heamatodes root), 20 gm; Bozidan (Chrysanthemum indicum root), 20 gm; Inderjau Sheereen (Wrightia tinctoria fruit), 20 gm; Shaqaqul (Pustinaca secacul root), 20 gm; Asl (Honey), 1 ¼ kg; Qand Safed (Sugar), 750 gm","Make solution of Zafran (Crocus sativa gynacium),Amber (Ambra grasea) and
						Musk (Moschcus moschiferus secretion) in Arq Kewra. Make powder of rest of
						the drugs. Mix the powder in Qiwam (Basic Solution of Particular
						consistency) of Qand Safed (Sugar) and Asl (Honey)","3-5
						gm"
Asl,"Its name is due to its ingredients, which are mostly seeds. Zara means seed.
						Some experts have written Zarghon instead of Zar-on. Its colour is golden
						like Zarghon.","It is unique drug as Muqavvi Gurda (Renal tonic). Muqavvi Jiger (Liver
						tonic), Muqavvi Meda (Gastric tonic), Muqavvi Dimagh (Brain tonic)","Excess urination, Frequency of urination, Renal problems",Zafran (Crocus sativa gynacium),"Badiyan (Foeniculum vulgare Mill seed), 25 gm; Filfil Siyah (Piper nigrum fruit), 25 gm; Nankhuah (Carum capticum seed), 25 gm; Post Beikh Karafs (Apium graveolence root bark), 25 gm; Qaranfal (Caryophyllus aromatica bud), 25 gm; Tukhme Gazer (Daucus carota seed), 25 gm; Tukhme Karafs (Apium graveolence seed), 25g m; Tukhme Kharpaza (Cucumis melo seed), 25 gm; Tukhm Khayaren (Cucumis sativa, Cucumis melo Linn var:
								utilissimus seed), 25 gm; Aqirqarha (Anacylus pyrethrum root), 10 gm; Bisbasa (Myristica fragrans fruit coat), 10 gm; Dar Chini (Cinnamomum zeylanicum bark), 10 gm; Mastagi (Pistacia lantiscus gum), 10 gm; Ood (Aquilaria agallocha fungus), 10 gm; Zafran (Crocus sativa gynacium), 10 gm; Asl (Honey), three times of total drug ","Make powder of all drugs and mix in Qiwam (Basic Solution of Particular
						consistency) of Asl (Honey)","5-10
						gm"
Arq Gulab,Its name is due to its ingredient Abresham (Bombax mori cocoon).,,,Abresham (Bombax mori cocoon),"Abresham Kham Muqarraz (Bombax mori cocoon without insect), 110 gm; Aab Aahan Taab (water obtained by dipping red hot iron in water), 3 litre; Badranjboya (Melissa parviflora herb), 5 gm; Gule Gaozaban (Borage officinalis flower), 13 gm; Asl (Honey), 125 gm; Sugar (), 250 gm; Tukhme Franjmishk (Ocymum gratissimum seed), 8 gm; Beikh Marjan (Corallium rubrum root), 4 gm; Kehruba (Vateria indica gum)), 4 gm; Yashb (Jade), 4 gm; Arq Gulab (), 150 ml","Soak Abresham Kham Muqarraz (Bombax mori cocoon without insect) 100gm in 3
						litre Aab Aahan Taab (water obtained by dipping red-hot iron in water) for
						24 hour. Boil it till it remains 1 litre. Filter it. Then boil Gule Gaozaban
						(Borage officinalis flower) 5gm, Badranjboya (Melissa parviflora herb) 5gm
						separately in water and filter. Mix both of them. Make Qiwam (Basic Solution
						of Particular consistency) of sugar and Honey in this filtrate. Make powder
						of Abresham Kham Muqarraz (Bombax mori cocoon without insect) 10gm, Gule
						Gaozaban (Borage officinalis flower) 8gm, Tukhme Franjmishk (Ocymum
						gratissimum seed). Mix in Qiwam (Basic Solution of Particular consistency).
						Make powder of Kehruba (Vateria indica gum), Yashb (Jade), Beikh Marjan
						(Corallium rubrum root) in Arq Gulab and mix in Qiwam (Basic Solution of
						Particular consistency) and triturate as it becomes white.","5-10
						gmwith Arq Gaozaban"
Sugar,"Its name is due to its ingredient Abresham (Bombax mori cocoon) and its
						inventor Hakim Arshad.",,,Abresham (Bombax mori cocoon),"Abresham (Bombax mori cocoon), 425 gm; Burada Sandal safed (Santalum album wood powde), ) 6 gm; Sumbuluttib (Nardostachis jatamansi root), 5 gm; Post Turanj (Citrus medica fruit epicarp), 5 gm; Mastagi (Pistacia lantiscus gu), 5 gm; Qaranfal (Caryophyllus aromatica bud), 5 gm; Dana Heel Khurd (Elettaria cardamomum seed), 5 gm; Sazij Hindi (Cinnamomum obtusifolium leaf), 5 gm; Ood Gharqi (Aquilaria agallocha fungus), 4 gm; Arq Gaozaban (), 150 ml; Arq Baidmishk (), 150 ml; Arq Gulab (), 150 ml; Aab Seb (Pyrus malus fruit juic), 150 ml; Aab Anar Sheereen (Punica granatum sweet juice), 150 ml; Aab Behi (Cydonia quincy fruit juice), 150 ml; Distilled water (), 2 litre; Amber (Ambra grasea), 5 gm; Arq Kewra (),  ; Verq Tila (Gold leaf), 6 gm; Verq Nuqra (Silver leaf), 6 gm; Kehruba (Vateria indica gum), 6 gm; Marjan (Corallium rubrum), 6 gm; Marvareed (Mytilus margaritiferus pearl), 9 gm; Yaqoot (Ruby), 9 gm; Yashb (Jade), 9 gm; Musk (Moschcus moschiferus secretion), 5 gm; Zafran (Crocus sativa gynacium), 5 gm; Asl (Honey), 250 gm; Sugar (), 750 gm","Tied Abresham (Bombax mori cocoon), Burada Sandal safed (Santalum album wood
						powder), Sumbuluttib (Nardostachis jatamansi root), Post Turanj (Citrus
						medica fruit epicarp), Qaranfal (Caryophyllus aromatica bud), Dana Heel
						Khurd (Elettaria cardamomum seed), Sazij Hindi (Cinnamomum obtusifolium
						leaf) and Ood Gharqi (Aquilaria agallocha fungus) in a cloth and boil in Arq
						Gaozaban, Arq Baidmishk, Arq Gulab, Aab Seb (Pyrus malus fruit juice), Aab
						Anar Sheereen (Punica granatum sweet juice), Aab Behi (Cydonia quincy fruit
						juice) and Distilled water till 2 litre water is evaporated. filter it. Mix
						Asl (Honey) and Sugar and make Qiwam (Basic Solution of Particular
						consistency). Then mix Amber (Ambra grasea) dissolved in Arq Kewra, Verq
						Tila (Gold leaf), Verq Nuqra (Silver leaf), Kehruba (Vateria indica gum),
						Marjan (Corallium rubrum), Marvareed (Mytilus margaritiferus pearl), Yaqoot
						(Ruby), Yashb (Jade), Musk (Moschcus moschiferus secretion) and Zafran
						(Crocus sativa gynacium) in form of powder. Now take off heat and triturate
						as it become white, mix Mastagi (Pistacia lantiscus gum).","3-5
						gmwith Arq Gaozaban 125
						ml"
Aab Aahan Taab,"Its name is due to its ingredient Abresham (Bombax mori cocoon),Mastagi
						(Pistacia lantiscus gum) and Ood (Aquilaria agallocha fungus)","Muqavvi Dimagh (Brain tonic), Muqavvi Jiger (Liver tonic),Muqavvi Meda
						(Gastric tonic), Nafe Bavaseer (Beneficial piles)","Malekholia (Melancholia), Zofe Qalb (Weakness of Heart), Zofe Meda (Weakness
						of Stomach), Zofe Jiger (Hepatosis). It is beneficial in Bavaseer (piles).",,"Ood Gharqi (Aquilaria agallocha fungus), 2 gm; Mastagi (Pistacia lantiscus gum), 2 gm; Musk (Moschcus moschiferus secretion of a gland), 2 gm; Yaqoot (Ruby), 4 gm; Kehruba (Vateria indica gum), 4 gm; Marjan (Corallium rubrum), 4 gm; Yashb (Jade), 4 gm; Marvareed (Mytilus margaritiferus pearl), 8 gm; Amber (Ambra grasea secretio), 8 gm; Berg Badranjboya ((Melissa parviflora leaf)), 75 gm; Berg Franjmishk (Ocymum gratissimum leaf), 75 gm; Abresham (Bombax mori cocoon without insect)), 350 gm; Sugar (), 125 gm; Aab Aahan Taab (water obtained by keeping red hot iron in water), 4 litre","Boil Abresham (Bombax mori cocoon) Berg Badranjboya (Melissa parviflora
						leaf) Berg Franjmishk (Ocymum gratissimum leaf) in water till it remains 1
						litre. Mesh with hands and filter it. Mix sugar and make Qiwam (Basic
						Solution of Particular consistency). Make powder of Ood Gharqi (Aquilaria
						agallocha fungus) 2gm Mastagi (Pistacia lantiscus gum), Musk (Moschcus
						moschiferus secretion of a gland) Yaqoot (Ruby), Kehruba (Vateria indica
						gum), Marjan (Corallium rubrum), Yashb (Jade) Marvareed (Mytilus
						margaritiferus pearl), Amber (Ambra grasea secretion) separately in Arq
						Gulab and add in Qiwam (Basic Solution of Particular consistency) step by
						step. Triturate according to method as it become white.","3-5
						gm with Arq Gaozaban 125
						ml"
Water,"Its name is due to its Ingredient Abresham (Bombax mori cocoon) and Sheera
						Unnab (Zizyfus sativa fruit ground with water).",,,"Abresham (Bombax mori cocoon) and Sheera Unnab (Zizyfus sativa fruit ground
						with water)","Abresham (Bombax mori cocoon), 150 gm; Distilled water (), 2 litre; Aab Seb Sheereen (Pyrus malus sweet fruit juice), 30 ml; Aab Seb Tursh (Pyrus malus sour fruit juice), 30 ml; Aab Anar Tursh (Punica granatum Linn sour fruit juice), 30 ml; Aab Angoor Sheereen (Vitis vinifera sweat fruit juice), 30 ml; Aab Behi Sheereen (Cydonia quincy sweat fruit juice), 30 ml; Burada Sandal safed (Santalum album wood powder), 30 ml; Joshanda Gaozaban (Borage officinalis flower decoction), 30 ml; Sheera Unnab (Zizyfus sativa fruit ground in water), 30 ml; Arq Gulab (), 150 ml; Sugar (), 150 gm; Zafran (Crocus sativa gynacium), 3 gm; Musk (Moschcus moschiferus secretion), 2 gm; Amber (Ambra grasea), 2 gm; Arq Gulab (), as needed ; Water (), 1 3/4 litres","Soak Abresham in water for three days. Boil till water remains 1/2 litre,
						filter it. Mix Aab Seb Sheereen (Pyrus malus sweet fruit juice), Aab Seb
						Tursh (Pyrus malus sour fruit juice), Aab Anar Tursh (Punica granatum Linn
						sour fruit), Aab Angoor Sheereen (Vitis vinifera sweet fruit), Aab Behi
						Sheereen (Cydonia quincy fruit), solution of Sandal safed (Santalum album
						wood) in Arq Gulab, Joshanda Gaozaban (Borage officinalis flower decoction),
						Sheera Unnab (Zizyfus sativa fruit ground in water), sugar and Arq Gulab.
						Make Qiwam (Basic Solution of Particular consistency) and add Zafran (Crocus
						sativa gynacium) and Amber (Ambra grasea secretion) by desolation inArq
						Gulab. Triturate it till it becomes white.","3-5
						gm with Arq Gaozaban 125m"
Sugar,Its name is due to its Ingredient Banafshah (Viola odorata),,,Banafshah (Viola odorata) Gul Banafshah (Viola odorata flower),"Banafshah (Viola odorata flower), 150 gm; Water (), 2 litre; Sugar (), 1 1/2 kg","Soak Gul Banafshah (Viola odorata flower) in water at night and boil it in
						the morning till water remains half. Filter it. Mix sugar in filtrate and
						make Qiwam (Basic Solution of Particular consistency), triturate it till it
						becomes white.","10-20
						gm with Arq Gaozaban 125
						ml"
Verq Nuqra,"Its name is due to its Ingredient Gaozaban (Borage officinalis) and Amber
						(Ambra grasea).",,,Gaozaban (Borage officinalis) andAmber (Ambra grasea).,"Berg Gaozaban (Borage officinalis leaf), 30 gm; Gule Gaozaban (Borage officinalis flower), 10 gm; Kashneez Khushk (Coriandrum sativum dried fruit), 10 gm; Abresham (Bombax mori cocoon), 10 gm; Behman safed (Centaurea behen root), 10 gm; Sandal safed (Santalum album wood), 10 gm; Tukhme Balanga (Lallemantia royleana seed), 10 gm; Tukhme Franjmishk (Ocymum gratissimum seed), 10 gm; Badranjboya (vMelissa parviflora herb), 10 gm; Ustokhuddus (Lavandula stoechas flower), 10 gm; Toodri Surkh (Cherianthus cheiri seed), 10 gm; Toodri Safed (Lepidium iberis seed), 10 gm; Water (), 2 litre; Sugar (), 1 kg; Asl (Honey), 250 gm; Amber (Ambra grasea), 2 gm; Verq Tila (Gold leaf), 6 gm; Verq Nuqra (Silver leaf), 6 gm","Soak Berg Gaozaban (Borage officinalis leaf), Gule Gaozaban (Borage
						officinalis flower), Kashneez Khushk (Coriandrum sativum dried fruit),
						Abresham (Bombax mori cocoon), Behman safed (Centaurea behen root), Sandal
						safed (Santalum album wood), Tukhme Balanga (Lallemantia royleana seed),
						Tukhme Franjmishk (Ocymum gratissimum seed), Badranjboya (Melissa parviflora
						herb), Ustokhuddus (Lavandula stoechas flower), Toodri Surkh (Cherianthus
						cheiri seed), Toodri Safed (Lepidium iberis seed) in water at night and boil
						them in the morning till water remains half. Rub well and filter it. Add
						sugar and Asl (Honey). Make Qiwam (Basic Solution of Particular
						consistency). Lastly add Amber (Ambra grasea secretion), Verq Nuqra (Silver
						leaf) and Verq Tila (Gold Leaf) and triturate it as it becomes white.","3-5
						gmwith Arq Gaozaban 125
						ml"
